,OverallQual,GrLivArea,GarageCars,GarageArea,TotalBsmtSF,1stFlrSF,FullBath,TotRmsAbvGrd,YearBuilt,SalePrice
66,7,7.699389406256737,2,576,7.5740450053721995,2207,2,7,1970,12.100712129872347
67,7,7.2991214627108,2,558,7.2813856635702825,1479,2,7,2003,12.328290278254423
68,4,6.616065185132817,1,220,6.616065185132817,747,1,4,1945,11.289781913656018
69,7,7.734996194022781,2,667,7.1731917424865985,1304,2,7,1953,12.323855681186558
70,7,7.706612913964197,2,516,7.706612913964197,2223,2,8,1973,12.404923504275338
71,4,6.739336627357174,2,360,6.739336627357174,845,1,4,1982,11.771436160121729
72,7,7.4489161025442,2,427,6.723832440821209,885,2,7,1998,12.128111104060462
73,5,6.990256500493881,2,490,6.990256500493881,1086,1,6,1954,11.883799128308773
74,3,7.380879035564116,1,379,6.733401891837359,840,2,8,1915,11.584315461056901
75,4,6.895682697747868,1,297,6.135564891081739,526,1,5,1973,11.418614785498987
76,4,6.858565034791365,1,283,6.858565034791365,952,1,4,1956,11.818570237796182
77,5,7.158513997329321,1,240,6.51025834052315,1072,1,6,1948,11.751942365440728
78,4,7.477604243197589,0,0,7.477604243197589,1768,2,8,1968,11.824079893607152
79,5,7.114769448366463,2,440,6.0867747269123065,682,1,5,1910,11.608235644774552
80,6,7.669495251007694,1,509,6.79794041297493,1182,2,8,1968,12.173032791451973
81,6,7.198183577101943,2,405,7.1204443723924875,1337,2,5,1998,11.941455846009388
82,8,7.354362330421477,3,758,7.354362330421477,1563,2,6,2007,12.409013489526863
83,5,6.970730078143525,2,461,6.970730078143525,1065,1,6,1960,11.747997587149712
84,7,7.295735072749282,2,400,5.950642552587727,804,2,7,1995,12.034691028774553
85,8,7.790282380703483,2,462,7.160845906664299,1301,2,9,1991,12.468436909997665
86,6,7.352441100243583,2,400,6.52795791762255,684,2,6,2005,12.066810578196666
87,6,7.1098794630722715,2,528,6.416732282512326,612,2,4,2009,12.010665849187564
88,3,7.330405211844402,0,0,6.920671504248683,1013,1,6,1915,11.350406535472453
89,4,6.897704943128636,0,0,6.897704943128636,990,1,5,1994,11.724805824005728
90,4,6.946975992135418,2,420,0.0,1040,1,4,1950,11.607326140391713
91,5,7.118826249062078,2,480,7.118826249062078,1235,1,6,1961,11.498826540590727
92,5,6.871091294610546,2,432,6.775366090936392,964,1,5,1921,12.004568269319446
93,6,7.736743682453495,2,506,7.101675971619444,1260,2,9,1910,11.804848531679264
94,6,7.487733761436444,2,684,6.714170529909472,905,2,7,1997,12.229545001715316
95,6,7.293017679772782,2,420,6.522092798170152,680,2,6,1993,12.128111104060462
96,7,7.370230641807081,2,472,7.370230641807081,1588,2,6,1999,12.273731294003989
97,4,6.866933284461882,1,432,6.866933284461882,960,1,6,1965,11.458997122944673
98,5,6.727431724850855,1,366,6.126869184114185,835,1,5,1920,11.326595886778735
99,4,7.110696122978827,0,0,6.856461984594587,1225,1,6,1959,11.76718001130949
100,6,7.383989457978509,2,480,7.383989457978509,1610,2,6,1977,12.230765258120545
101,6,7.4570320891223805,2,476,6.608000625296087,977,2,7,1985,12.089538829274222
102,5,7.336285660021297,2,410,0.0,1535,2,8,1979,11.686576205316552
103,7,7.111512116496157,3,740,7.111512116496157,1226,2,6,2009,12.200557464842063
104,7,7.505492274737424,1,240,6.946975992135418,1226,1,7,1931,12.040608205802641
105,8,7.596894438144544,2,648,6.959398512133975,1053,2,9,2003,12.429216196844383
106,4,6.953684210870537,1,273,6.46302945692067,1047,1,6,1885,11.512925464970229
107,5,6.670766320845874,1,250,6.670766320845874,789,1,5,1948,11.652687407345388
108,5,7.324489979348532,0,0,6.675823221634848,997,2,7,1919,11.652687407345388
109,6,7.519692404116539,2,546,7.519692404116539,1844,2,7,1977,12.154779351142624
110,6,7.5256399750415355,1,325,6.901737206656574,1216,2,7,1954,11.82700601127654
111,7,7.265429723253953,2,400,5.950642552587727,774,2,7,2000,12.100712129872347
112,7,7.899524472032198,3,792,7.142036574706803,1282,2,10,2007,12.858319703517948
113,6,7.7226775164680035,2,450,7.500529485395295,2259,2,7,1953,12.287652632522597
114,6,7.749322464660356,1,180,6.93537044601511,1436,2,9,1945,12.46651198158808
115,6,7.284820912568604,2,440,6.591673732008658,729,2,5,1999,12.078239274020289
116,5,6.9957661563048505,1,288,6.9957661563048505,1092,1,6,1962,11.842229212112828
117,5,7.025538314638521,2,430,7.025538314638521,1125,1,5,2006,11.951180395901384
118,7,8.07775756373692,3,594,7.422373700986824,1699,3,11,1990,12.676076274775909
119,6,7.283448228756631,2,390,6.590301048196686,728,2,8,2005,12.007560729337492
120,6,6.895682697747868,2,540,6.843749949006225,988,1,4,1969,12.100712129872347
121,4,7.023758954738443,1,264,6.595780513961311,772,1,4,1939,11.512925464970229
122,6,6.984716320118266,1,288,6.984716320118266,1080,1,5,1958,11.820410164718188
123,6,7.089243155027514,2,530,7.089243155027514,1199,2,5,1993,11.94405831982697
124,6,7.368970402194793,2,435,7.216709486709457,1586,2,7,1979,12.106252310247962
125,6,6.625392368007956,0,0,6.253828811575473,520,1,5,1935,11.344506813345266
126,6,6.86484777797086,2,440,6.982862751468942,958,2,5,1976,11.759785542901755
127,5,6.733401891837359,0,0,6.51025834052315,840,1,5,1930,11.37366339763672
128,6,7.206377291472252,2,453,6.492239835020471,660,1,6,1966,11.951180395901384
129,5,6.959398512133975,2,750,6.915723448631314,1053,1,6,1958,11.918390573078392
130,7,7.676473646389156,2,487,6.828712071641684,1216,2,8,1966,12.328290278254423
131,6,7.627544390488503,2,390,6.899723107284872,1022,2,7,2000,12.404923504275338
132,5,7.190676034332207,2,624,6.968850378341948,1327,1,7,1959,11.923378114589433
133,8,7.16703787691222,2,471,7.144407180321139,1296,2,6,2001,12.301382825334498
134,5,7.450660796211539,2,440,7.2868764117507,1721,2,7,1968,12.100712129872347
135,7,7.427738840532894,2,530,7.1731917424865985,1682,2,7,1970,12.066810578196666
136,5,7.101675971619444,1,318,7.101675971619444,1214,2,5,1967,11.870599909242044
137,7,7.580189417944541,3,766,7.553286605600419,1959,3,9,1988,12.049418835484797
138,8,7.524021415206125,3,660,6.911747300251674,1004,2,7,1999,12.345834587905333
139,6,7.475339236566737,2,470,6.833031732786201,928,2,7,1997,12.352335152508426
140,4,6.761572768804055,0,0,6.761572768804055,864,1,5,1971,11.652687407345388
141,7,7.458186157340487,2,660,7.458186157340487,1734,2,7,2005,12.468436909997665
142,5,7.233455418621439,2,720,6.813444599510896,910,2,6,1952,12.01974306733868
143,7,7.313886831633462,2,577,7.306531398939505,1501,2,6,1999,12.225875272826354
144,5,7.454719949364001,2,504,7.454719949364001,1728,2,10,1963,11.736069016284437
145,6,7.443663683115591,2,380,6.877296071497429,970,2,7,2004,11.77528972943772
146,5,6.774223886357614,1,180,6.5722825426940075,875,1,5,1931,11.56171562913966
147,7,7.618251097876695,2,434,6.784457062637643,884,2,8,2001,12.312682380588432
148,7,6.984716320118266,0,0,6.984716320118266,1080,1,6,2004,11.856515169360305
149,5,7.203405521083095,1,240,6.79794041297493,896,1,7,1936,11.652687407345388
150,5,6.876264611890766,2,440,6.876264611890766,969,1,5,1975,11.711776323715394
151,8,7.444248649496705,3,866,7.444248649496705,1710,2,6,2007,12.827729194939907
152,6,7.597396320212795,2,495,6.715383386334681,1097,2,8,1971,12.154779351142624
153,6,7.132497551660044,2,564,7.379008127628304,1252,1,4,1960,12.367340793126296
154,6,7.090076835776092,1,312,7.090076835776092,1200,1,7,1923,11.736069016284437
155,6,6.999422467507961,0,0,6.349138991379798,572,1,5,1924,11.27720313144916
156,5,6.946975992135418,2,625,0.0,1040,1,5,1950,11.603679828238693
157,8,7.584773077612199,3,680,6.651571873589727,774,2,8,2009,12.504323669331189
158,7,7.5740450053721995,2,678,6.898714534329988,991,2,8,2004,12.448626590364206
159,7,7.808729306744399,2,576,7.238496840894365,1392,2,9,2005,12.676076274775909
160,6,7.116394144093465,2,516,7.116394144093465,1232,2,6,1984,11.998433280751929
161,9,7.889084407035514,3,726,7.360103972989152,1572,2,10,2003,12.929991484756872
162,7,7.340186835320115,2,532,7.340186835320115,1541,2,7,2005,12.301382825334498
163,4,6.782192056006791,0,0,6.782192056006791,882,1,4,1956,11.544424132029599
164,6,7.38770923908104,1,216,7.046647277848756,1149,2,5,1926,11.931635799828413
165,5,7.2115567333138015,0,0,6.467698726104354,808,2,6,1940,11.755871643580617
166,5,7.532088143541722,1,303,7.388327859577107,1867,1,7,1955,12.154779351142624
167,8,7.6783263565068856,3,789,7.366445148327599,1610,1,8,2007,12.693498620467778
168,7,7.450079569807499,2,440,6.733401891837359,840,2,7,2004,12.119969946476761
169,8,7.442492722794441,2,511,7.430114138561801,1707,2,6,1981,12.337100907936577
170,5,7.231287004327616,2,660,6.579251212010101,854,1,7,1941,11.763684183317412
171,6,7.412160334945205,2,528,6.984716320118266,1656,1,7,1960,12.2783933071098
172,7,7.4770384723196965,2,504,6.96979066990159,1064,2,5,1987,12.384218830913648
173,6,7.216709486709457,2,504,7.216709486709457,1362,1,6,1961,12.0015054797889
174,6,7.409136443920128,2,616,7.381501894506707,1651,2,7,1986,12.122691036591123
175,6,7.67693714581808,2,576,7.091742115095153,2158,2,7,1950,12.400816722322686
176,6,7.630461261783627,2,521,7.048386408721883,1164,2,8,1988,12.259613412458204
177,5,7.560080465021827,2,451,6.9584483932976555,1252,2,8,1958,12.058152515453552
178,9,7.711548979629146,3,1166,7.703459047867175,2234,2,9,2008,13.1260306447518
179,5,6.875232087276577,2,480,6.875232087276577,968,1,5,1923,11.512925464970229
180,6,7.329749689041512,2,440,6.628041376179533,769,2,5,2000,12.083905011555967
181,7,7.496652438168283,1,216,6.675823221634848,901,1,9,1920,12.206572520571825
182,5,7.200424892944957,1,252,0.0,1340,1,7,1957,11.695247021764184
183,7,7.641084249174914,2,484,7.216709486709457,1362,2,6,2003,12.206072645530174
184,5,7.132497551660044,2,576,6.222576268071369,936,1,5,1908,11.751942365440728
185,10,8.190908881182514,3,840,7.009408932708637,1518,2,12,1892,13.071070083016778
186,7,7.104144092987527,2,497,7.080026499922591,1217,2,6,1990,12.061046873479915
187,5,7.412160334945205,1,180,6.492239835020471,808,2,8,1916,11.813030057420567
188,5,7.1098794630722715,2,528,6.990256500493881,1224,0,6,1979,11.940393392554734
189,8,7.373374309910049,2,682,7.373374309910049,1593,1,5,2001,12.56374708980199
190,8,7.910957382845589,2,440,6.748759547491679,1549,2,10,1932,12.66032791780777
191,7,7.2991214627108,2,484,6.586171654854675,725,1,7,1972,12.122691036591123
192,7,7.266128779556451,2,666,7.266128779556451,1431,2,6,1999,12.165250651009918
193,7,7.443663683115591,2,380,6.877296071497429,970,2,7,2004,11.77528972943772
194,5,6.761572768804055,1,352,6.761572768804055,864,1,5,1972,11.751942365440728
195,6,7.283448228756631,2,440,6.75110146893676,855,2,7,1976,11.908340237224891
196,7,7.453561871643373,3,786,7.453561871643373,1726,2,8,2007,12.650348126203179
197,8,8.043020885298283,2,795,7.215239978730097,1360,2,8,1918,12.367340793126296
198,6,7.709308333385869,0,0,6.626717749249025,929,1,8,1912,11.55214617812351
199,8,7.44600149832412,3,856,7.44600149832412,1713,2,7,2004,12.524162674153336
200,4,7.02197642307216,2,440,7.02197642307216,1121,2,5,2003,11.84939770159144
201,6,7.153833801578843,2,473,7.086737934510577,1279,2,6,1977,12.052338545588132
202,6,7.177782416195197,1,398,6.424869023905388,865,2,6,1924,11.626254150277232
203,6,6.742880635791903,2,420,6.742880635791903,848,1,3,2004,11.911701584927597
204,5,7.157735484249907,1,240,6.579251212010101,720,1,5,1947,11.608235644774552
205,7,7.273786317844895,2,500,7.261225091971921,1442,2,5,1990,12.103486056755072
206,5,7.4360278163518485,1,349,7.038783541388542,1696,1,8,1962,11.876873892875459
207,4,7.003065458786462,1,312,7.003065458786462,1100,1,6,1960,11.856515169360305
208,7,7.631431664576906,2,454,7.053585727193677,1180,2,7,1988,12.531772785169476
209,6,6.9957661563048505,2,504,6.9957661563048505,1092,1,6,1964,11.884489021402711
210,5,6.761572768804055,0,0,6.761572768804055,864,1,5,1925,11.49272275765271
211,6,7.10002716662926,2,460,7.10002716662926,1212,2,6,2009,12.133501952695338
212,7,7.524021415206125,2,644,6.802394763324311,932,2,7,2009,12.439871229831715
213,5,6.897704943128636,2,576,6.897704943128636,990,1,5,1995,11.957611286231675
214,6,7.238496840894365,1,299,6.535241271013659,689,1,6,1977,11.993807212363148
215,5,7.119635638017636,1,447,6.975413927455952,1236,1,6,1957,11.80894766169701
216,7,7.269616749608169,2,484,7.269616749608169,1436,2,8,2004,12.254862809699606
217,4,7.191429330036379,1,210,6.530877627725885,810,1,8,1925,11.580584113444043
218,7,7.577633832602728,2,431,6.682108597449809,1137,1,8,1939,12.649154617209645
219,7,7.129297548929373,2,438,7.129297548929373,1248,2,5,2005,12.0271851854705
220,7,7.311886164077165,2,675,7.311886164077165,1498,2,5,2006,12.230277334226992
221,6,7.726212650507529,2,390,6.917705609835305,1010,2,8,2002,12.206072645530174
222,6,7.347299700743164,2,434,6.569481420414296,811,2,6,1975,12.100156419938624
223,4,6.761572768804055,2,576,6.761572768804055,864,1,4,1971,11.48246625748552
224,10,7.779885115070522,3,968,7.779885115070522,2392,2,8,2003,12.864240107194092
225,5,7.171656822768514,1,280,6.4457198193855785,630,2,6,1971,11.626254150277232
226,7,7.832014180505469,3,721,7.0925737159746784,1214,2,9,1995,12.577636201962656
227,6,6.894670039433482,1,280,6.180016653652572,483,1,5,1970,11.571194373094205
228,5,6.815639990074331,1,336,6.815639990074331,912,1,5,1967,11.736069016284437
229,7,7.349230824613334,2,430,7.224753405767971,1555,2,7,2005,12.167851432709975
230,6,7.085064293952548,1,312,7.085064293952548,1194,1,6,1959,11.904967552746252
231,8,7.935229539816907,3,810,7.2875606403097235,1490,2,9,1995,12.90669184092882
232,6,6.894670039433482,1,288,6.180016653652572,483,1,5,1972,11.456355113481834
233,5,6.795705775173514,1,308,6.795705775173514,894,1,5,1976,11.761346823468706
234,6,7.580699752224563,2,440,6.756932389247553,860,2,8,2002,12.285345826424681
235,6,6.894670039433482,1,264,6.180016653652572,483,1,5,1971,11.401993904262946
236,7,7.254177846456518,2,494,7.254177846456518,1414,2,6,2004,12.130810161029627
237,7,7.463936604468925,2,457,6.903747257584598,1014,2,7,1993,12.178187442040638
238,8,7.434847875211999,3,818,7.434847875211999,1694,2,7,2007,12.669806661762314
239,6,7.304515946460155,1,220,6.5998704992128365,798,1,7,1945,11.635143097694478
240,8,7.356279876550748,2,750,7.356279876550748,1566,2,7,2008,12.478006361013815
241,5,6.763884908562435,0,0,6.530877627725885,866,1,4,1945,11.612770799939945
242,5,7.272398392570047,1,352,6.29156913955832,889,1,6,1900,11.27720313144916
243,6,7.104144092987527,1,288,6.439350371100098,626,1,6,1980,11.695247021764184
244,7,7.6544432264701125,2,463,6.854354502255021,1222,2,8,1994,12.230765258120545
245,7,7.534762657037537,2,604,7.520234556474628,1872,2,6,1988,12.394624752074764
246,6,7.564238475170491,1,440,6.927557906278317,908,2,9,1910,11.827736204810263
247,6,7.226209010100671,2,451,7.220373836723949,1375,1,5,1954,11.84939770159144
248,7,7.419380582918692,2,500,6.733401891837359,840,2,8,2003,12.100712129872347
249,6,7.670428522190693,2,389,7.275172319452771,1444,2,7,1958,12.531772785169476
250,3,7.174724309836376,0,0,6.590301048196686,1306,1,6,1940,11.245046019814627
251,8,7.393263094763838,2,538,7.360739903058278,1625,2,5,2006,12.367340793126296
252,6,7.402451520818244,2,520,6.682108597449809,798,2,6,2004,12.061046873479915
253,6,7.171656822768514,1,309,7.171656822768514,1302,2,7,1964,11.970350312009105
254,5,7.1808311990445555,1,294,7.1808311990445555,1314,1,5,1957,11.884489021402711
255,7,7.736743682453495,2,429,6.882437470997847,1005,2,8,1999,12.345834587905333
256,6,7.454719949364001,2,673,6.761572768804055,864,2,7,2003,12.24288661865289
257,7,7.38025578842646,2,660,7.38025578842646,1604,2,8,2006,12.301382825334498
258,7,7.491087593534876,2,564,6.870053411798126,963,2,7,2001,12.352335152508426
259,5,6.782192056006791,1,308,0.0,882,1,4,1956,11.48246625748552
260,6,7.231287004327616,2,884,7.216709486709457,1382,1,6,1962,12.078239274020289
261,8,7.853216388156072,3,868,7.301147805856032,1482,2,10,2007,12.528156144699286
262,6,7.10002716662926,2,492,6.226536669287466,1212,1,6,1977,11.925035115797062
263,5,7.182352111885263,2,484,6.8308742346461795,926,1,6,1929,11.77528972943772
264,5,6.638567789166521,2,504,6.522092798170152,764,1,4,1925,11.198214720130528
265,6,7.259819610363186,2,576,7.259819610363186,1422,2,7,1981,12.075394321888057
266,6,7.32052696227274,2,413,6.687108607866515,802,2,8,1997,12.128111104060462
267,5,7.692569648067906,1,240,6.579251212010101,1052,2,8,1939,12.097930486910471
268,5,6.656726524178391,1,924,6.606650186198215,778,1,4,1940,11.699405031912846
269,6,7.014814351275545,1,504,7.04141166379481,1113,1,6,1976,11.904967552746252
270,8,7.569927655242652,3,1053,6.9985096422506015,1095,2,8,2006,12.491251587763836
271,7,7.217443431696533,2,439,7.233455418621439,1363,1,5,1954,12.394624752074764
272,8,7.727535110475448,3,671,7.049254841255837,1164,2,9,1999,12.577636201962656
273,6,7.397561535524052,1,338,7.122866658599083,1632,2,6,1958,11.842229212112828
274,5,6.704414354964107,1,264,6.704414354964107,816,1,5,1982,11.732060994886899
275,7,7.344719054149673,2,672,6.858565034791365,952,2,5,1925,12.230765258120545
276,7,7.352441100243583,2,573,7.352441100243583,1560,2,7,2003,12.211060187041213
277,4,6.761572768804055,2,400,6.761572768804055,864,1,4,1951,11.856515169360305
278,9,7.659642954564682,3,732,7.659642954564682,2121,2,8,2006,12.936751613811438
279,7,7.611842399580417,2,505,7.05617528410041,1156,2,8,1977,12.165250651009918
280,7,7.591861714889934,2,575,6.693323668269949,1175,2,7,1989,12.339291489316397
281,6,7.140453043101158,2,572,7.140453043101158,1262,2,5,2006,12.128111104060462
282,7,7.1808311990445555,2,626,7.1808311990445555,1314,2,6,2007,12.24288661865289
283,8,7.291656209174461,3,898,7.291656209174461,1468,2,6,2008,12.407379502235209
284,6,7.362010551259734,2,529,7.362010551259734,1575,2,5,1992,12.096257779522967
285,7,7.1308988302963465,2,528,6.437751649736401,625,2,5,2006,12.011880916165731
286,6,7.458186157340487,2,440,6.815639990074331,1085,1,7,1962,11.976659481202368
287,4,6.754604099487962,0,0,6.754604099487962,858,1,5,1971,11.385092093460344
288,5,6.802394763324311,1,280,6.782192056006791,900,1,5,1967,11.711776323715394
289,6,7.241366283322318,1,384,6.548219102762372,698,1,7,1915,11.941944326032129
290,8,7.5595594960077,2,685,6.983789965258135,1079,2,8,2006,12.359780370124389
291,5,7.447751280047908,0,0,6.659293919683638,936,2,9,1912,11.819674600139235
292,5,7.447751280047908,1,281,6.643789733147672,1148,1,8,1949,11.782952602183288
293,7,7.724446645633537,2,539,6.678342114654332,1468,2,9,1977,12.367340793126296
294,6,7.404887575616125,2,418,7.255591274253665,1644,1,7,1953,12.025749091398891
295,6,6.910750787961936,2,588,6.910750787961936,1003,1,6,1984,11.867097278690842
296,5,7.351158226430694,1,282,6.813444599510896,910,1,6,1950,11.931635799828413
297,7,7.575584651557793,2,576,6.882437470997847,975,2,7,1997,12.384218830913648
298,6,7.463363045520021,2,539,6.553933404025811,1041,1,7,1968,12.072541252905651
299,6,7.049254841255837,1,300,6.9957661563048505,1152,1,6,1950,11.973509872299472
300,5,7.197435354096591,1,375,7.060476365999801,1336,1,5,1953,11.964001084330445
301,8,7.804659297056102,2,683,6.93537044601511,1210,2,9,1998,12.495003937382387
302,7,7.340186835320115,3,843,7.340186835320115,1541,2,6,2001,12.230765258120545
303,5,6.795705775173514,2,552,6.795705775173514,894,1,5,1972,11.917723684090689
304,7,8.158516244806831,3,870,7.293017679772782,1675,3,10,1880,12.594730635321957
305,8,7.600902459542082,3,888,7.600902459542082,2000,2,8,2004,12.631013530138995
306,7,7.715569534520208,3,746,6.551080335043404,1122,2,8,1990,12.323855681186558
307,6,7.2485040723706105,0,0,5.765191102784844,1035,1,6,1920,11.401993904262946
308,4,6.7580945044277305,2,539,6.7580945044277305,861,1,4,1940,11.320553572322773
309,9,7.572502985020384,3,708,7.547501682814967,1944,2,8,2003,12.793859310432293
310,6,7.313886831633462,2,420,6.546785410760524,697,2,6,1993,12.017330520933296
311,6,6.879355804460439,1,240,6.879355804460439,972,1,5,1948,11.790557201568507
312,5,7.0192966537150445,2,410,6.675823221634848,793,1,5,1939,11.694413341015606
313,7,7.618742377670413,2,513,7.666690200080086,2036,2,8,1965,12.834681304952548
314,7,7.403061091090091,2,546,6.590301048196686,832,1,6,1925,12.089538829274222
315,7,7.266827347520591,2,432,6.573680166960646,716,2,6,2004,12.146853285870202
316,7,7.763446388727362,2,484,6.739336627357174,1153,2,10,1980,12.468436909997665
317,8,7.580189417944541,3,1025,6.992096427415888,1088,2,8,2006,12.506177237980511
318,7,7.880804344674901,3,656,7.205635176410364,1372,2,9,1993,12.468436909997665
319,7,7.294377299288821,2,588,7.22402480828583,1472,2,6,1980,12.141534124392603
320,9,7.86172707782398,3,840,7.130098510125578,1249,3,9,2006,12.7444443677961
321,8,7.811163385025279,3,872,7.035268599281097,1136,2,10,2004,12.777052192115912
322,7,7.912056888179006,2,576,7.31455283232408,1553,2,8,1986,12.614865543731012
323,3,7.0587581525186645,1,220,7.057897937411856,1163,1,6,1955,11.745425111208464
324,7,7.999007213243955,2,564,6.565264970035361,1898,2,11,1967,12.396693005138824
325,5,6.688354713946762,2,360,6.579251212010101,803,1,5,1941,11.37366339763672
326,8,7.449498005382849,2,473,7.449498005382849,1719,1,6,1993,12.688498794774466
327,6,7.232010331664759,1,292,7.232010331664759,1383,1,7,1960,11.886211674714158
328,6,7.665753431861699,2,441,6.738152494595957,1445,2,10,1916,12.27606501735021
329,5,7.083387847625295,1,189,6.39024066706535,596,1,6,1920,11.26446410567173
330,5,7.454719949364001,1,352,7.454719949364001,1728,2,10,1964,11.686878772093667
331,5,6.962243464266207,1,308,6.962243464266207,1056,1,6,1958,11.842229212112828
